epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2936.72,1.3427,1.05472,1.10004,0.77744,0.72159,0.77486,0.46185,1.32226,0.80898,1.10241,0.004324,0.004324,0.004324
88,2970.44,1.34281,1.04958,1.09989,0.79056,0.69706,0.77297,0.45854,1.34425,0.80563,1.10697,0.004258,0.004258,0.004258
89,3003.53,1.34018,1.0418,1.09877,0.74815,0.75131,0.77825,0.45888,1.33096,0.80192,1.10477,0.004192,0.004192,0.004192
90,3037.05,1.34367,1.04092,1.09923,0.78062,0.74846,0.78781,0.45935,1.37265,0.79067,1.10597,0.004126,0.004126,0.004126
91,3070.35,1.32731,1.03174,1.09517,0.75617,0.71044,0.75736,0.45281,1.33264,0.86697,1.10434,0.00406,0.00406,0.00406
92,3103.75,1.33711,1.04372,1.09812,0.79402,0.73248,0.78761,0.46887,1.33539,0.77238,1.1023,0.003994,0.003994,0.003994
93,3136.94,1.33944,1.02819,1.09791,0.75788,0.7697,0.79454,0.46963,1.35538,0.75746,1.10486,0.003928,0.003928,0.003928
94,3170.57,1.33366,1.03342,1.0953,0.79712,0.75095,0.78548,0.46314,1.34269,0.79503,1.09553,0.003862,0.003862,0.003862
95,3203.69,1.3292,1.02029,1.09167,0.76971,0.73892,0.79401,0.46981,1.33804,0.77569,1.10864,0.003796,0.003796,0.003796
96,3237.1,1.32572,1.02329,1.09345,0.79316,0.73417,0.78974,0.47514,1.33091,0.7581,1.09869,0.00373,0.00373,0.00373
97,3270.53,1.31885,1.01505,1.09154,0.82024,0.73511,0.80156,0.46486,1.37323,0.7821,1.10574,0.003664,0.003664,0.003664
98,3303.67,1.32985,1.01206,1.093,0.77393,0.77666,0.80977,0.49013,1.29984,0.76208,1.09304,0.003598,0.003598,0.003598
99,3336.94,1.31887,1.00517,1.09076,0.80173,0.74501,0.81116,0.48471,1.33807,0.76541,1.10034,0.003532,0.003532,0.003532
100,3370.54,1.31144,1.00471,1.08711,0.79724,0.73729,0.79516,0.46663,1.34956,0.79153,1.09918,0.003466,0.003466,0.003466
101,3403.98,1.31865,1.0018,1.08782,0.83693,0.76046,0.82168,0.48285,1.33538,0.74805,1.10235,0.0034,0.0034,0.0034
102,3437.2,1.30888,0.99876,1.08574,0.7904,0.76726,0.80253,0.47423,1.34432,0.76182,1.10041,0.003334,0.003334,0.003334
103,3470.46,1.31653,0.99949,1.08826,0.771,0.75825,0.79489,0.46897,1.3456,0.7732,1.09971,0.003268,0.003268,0.003268
104,3503.89,1.31047,0.99123,1.08789,0.80713,0.76195,0.80814,0.47539,1.34073,0.75309,1.09905,0.003202,0.003202,0.003202
105,3537.36,1.31852,0.99418,1.09168,0.8097,0.77959,0.82479,0.48437,1.33431,0.73757,1.0957,0.003136,0.003136,0.003136
106,3570.41,1.31115,0.97422,1.0877,0.81174,0.77024,0.81785,0.47665,1.34612,0.7418,1.09521,0.00307,0.00307,0.00307
107,3603.72,1.32043,0.99118,1.09038,0.7995,0.76231,0.80626,0.47486,1.35466,0.77897,1.09736,0.003004,0.003004,0.003004
108,3636.71,1.30272,0.97726,1.08733,0.82272,0.76351,0.8276,0.48208,1.33905,0.75609,1.09751,0.002938,0.002938,0.002938
109,3669.91,1.31878,0.98376,1.08878,0.82651,0.75684,0.81618,0.48548,1.33723,0.75677,1.09954,0.002872,0.002872,0.002872
110,3703.51,1.30894,0.98002,1.08409,0.76605,0.77963,0.81191,0.48856,1.32879,0.74881,1.10243,0.002806,0.002806,0.002806
111,3737.1,1.3066,0.97766,1.08389,0.7946,0.77481,0.81159,0.48316,1.34744,0.74378,1.10087,0.00274,0.00274,0.00274
112,3770.59,1.30053,0.97278,1.08271,0.80721,0.78289,0.82273,0.4911,1.32226,0.74242,1.09273,0.002674,0.002674,0.002674
113,3804.49,1.29882,0.96211,1.08164,0.8277,0.78088,0.83322,0.50032,1.30255,0.74301,1.08522,0.002608,0.002608,0.002608
114,3838.07,1.30517,0.96405,1.08111,0.82151,0.78854,0.83361,0.48769,1.34535,0.74486,1.09872,0.002542,0.002542,0.002542
115,3871.93,1.30341,0.95687,1.07863,0.83327,0.76855,0.82494,0.48768,1.33485,0.73523,1.09431,0.002476,0.002476,0.002476
116,3905.13,1.29759,0.96219,1.07873,0.8126,0.77812,0.82931,0.49215,1.33026,0.74447,1.09446,0.00241,0.00241,0.00241
117,3938.78,1.28955,0.95226,1.08106,0.81452,0.79176,0.83745,0.50585,1.29813,0.71558,1.08729,0.002344,0.002344,0.002344
118,3972.51,1.28819,0.94985,1.07513,0.81012,0.80486,0.8368,0.50852,1.28545,0.72008,1.08409,0.002278,0.002278,0.002278
119,4006.29,1.29033,0.93917,1.07435,0.81902,0.78808,0.8366,0.51039,1.29506,0.71838,1.08701,0.002212,0.002212,0.002212
120,4039.93,1.28208,0.92907,1.07351,0.79028,0.79112,0.82564,0.49485,1.3183,0.73754,1.08974,0.002146,0.002146,0.002146
121,4073.69,1.28952,0.93001,1.07403,0.80387,0.79295,0.83005,0.49093,1.34037,0.73107,1.09296,0.00208,0.00208,0.00208
122,4107.29,1.28509,0.93479,1.07819,0.80857,0.78531,0.83217,0.50176,1.31895,0.73218,1.09028,0.002014,0.002014,0.002014
123,4141.2,1.27733,0.92039,1.07057,0.84337,0.76541,0.82718,0.50522,1.30541,0.7287,1.08684,0.001948,0.001948,0.001948
124,4174.86,1.28259,0.92837,1.0764,0.81459,0.78337,0.83595,0.50203,1.3132,0.72612,1.09174,0.001882,0.001882,0.001882
